fid,ISO3_CODE,COUNTRY_NA,AREA,Classified_Commodity
1,GBR,United Kingdom,1.782043848,Other metals
2,FJI,Fiji,0.023405015,Bauxite
3,NZL,New Zealand,0.042758207,Other metals
4,FJI,Fiji,0.248552461,Other non-metals
5,FJI,Fiji,0.132723602,Gold
6,FJI,Fiji,0.016743023,Gold
7,FJI,Fiji,0.593630556,Gold
8,FJI,Fiji,0.064495269,Nickel and Cobalt
9,FJI,Fiji,0.195868401,Coal
10,NZL,New Zealand,0.065505779,Bauxite
13,NZL,New Zealand,0.25914897,Coal
14,NZL,New Zealand,0.236245914,Gold
15,NZL,New Zealand,0.400122939,Uranium
16,NZL,New Zealand,0.16942248,Ilmenite
17,NZL,New Zealand,0.733375831,Nickel and Cobalt
18,NZL,New Zealand,0.614778271,Iron
19,NZL,New Zealand,0.357434597,Lithium
20,NZL,New Zealand,0.062953737,Coal
21,NZL,New Zealand,0.050410421,Iron
22,NZL,New Zealand,0.104685209,Lithium
23,NZL,New Zealand,0.068199213,Coal
25,NZL,New Zealand,0.432048186,Copper
26,NZL,New Zealand,0.353081605,Ilmenite
27,NZL,New Zealand,0.157200459,Iron
28,NZL,New Zealand,0.226382388,PGE
29,NZL,New Zealand,0.873826592,Coal
30,NZL,New Zealand,0.090734125,Coal
32,NZL,New Zealand,0.092609014,Iron
33,NZL,New Zealand,0.012655469,Coal
34,NZL,New Zealand,0.119093796,Nickel and Cobalt
35,NZL,New Zealand,0.400815673,Iron
36,NZL,New Zealand,0.161184728,Coal
37,NZL,New Zealand,0.420848877,Lithium
38,NZL,New Zealand,0.528804035,Zinc
39,NZL,New Zealand,1.273588701,Lithium
40,NZL,New Zealand,0.041965471,Coal
42,NZL,New Zealand,0.177913258,Iron
44,NZL,New Zealand,13.24105373,Gold
45,NZL,New Zealand,0.170824292,Lithium
46,NZL,New Zealand,0.474799709,Bauxite
47,NZL,New Zealand,1.444198163,Copper
48,NZL,New Zealand,3.3190909,Ilmenite
50,NZL,New Zealand,0.128941805,Coal
51,NZL,New Zealand,0.598877203,Copper
53,NZL,New Zealand,0.038095619,Gold
56,NZL,New Zealand,0.598817389,Copper
57,NZL,New Zealand,2.472979909,Coal
58,NZL,New Zealand,1.627727735,Coal
59,NZL,New Zealand,1.410863625,Nickel and Cobalt
61,NZL,New Zealand,0.179028389,Iron
65,NZL,New Zealand,0.149206329,Coal
68,NZL,New Zealand,0.11424691,Lithium
71,NZL,New Zealand,0.11135151,Coal
72,NZL,New Zealand,0.551224877,PGE
73,NZL,New Zealand,0.041148154,Copper
78,NZL,New Zealand,0.04234163,Gold
79,NZL,New Zealand,0.276694161,Gold
81,NZL,New Zealand,0.087184539,Other non-metals
83,NZL,New Zealand,0.862665656,Coal
84,NZL,New Zealand,5.865799375,Tin
85,NZL,New Zealand,1.340062648,Coal
86,NZL,New Zealand,0.180048652,Gold
87,NZL,New Zealand,0.067473798,Coal
88,NZL,New Zealand,0.022993564,Gold
89,NZL,New Zealand,0.035459259,Coal
90,NZL,New Zealand,1.235400814,Coal
91,NZL,New Zealand,0.524063956,Coal
92,NZL,New Zealand,1.308117477,Iron
95,NZL,New Zealand,1.119243253,Gold
96,NZL,New Zealand,0.436752342,Other non-metals
97,NZL,New Zealand,0.193570927,Coal
101,NCL,New Caledonia,0.425802155,Iron
102,NZL,New Zealand,0.597017089,Gold
103,NZL,New Zealand,0.242446014,Iron
104,NCL,New Caledonia,0.04153004,Nickel and Cobalt
105,NCL,New Caledonia,0.564351114,Iron
106,NCL,New Caledonia,0.14436109,Nickel and Cobalt
107,NCL,New Caledonia,0.132052452,Coal
108,NCL,New Caledonia,2.986820078,Nickel and Cobalt
109,NCL,New Caledonia,0.042204025,Other metals
110,NCL,New Caledonia,0.200915883,Gold
111,NCL,New Caledonia,6.169964068,Nickel and Cobalt
112,NCL,New Caledonia,0.717644221,Coal
113,NCL,New Caledonia,1.402695745,Nickel and Cobalt
115,NCL,New Caledonia,0.347750115,Nickel and Cobalt
116,NCL,New Caledonia,2.37169449,Coal
117,NCL,New Caledonia,2.905858174,Other metals
118,NCL,New Caledonia,0.52826546,Iron
119,NZL,New Zealand,2.479575949,Copper
120,NZL,New Zealand,0.619857065,Other non-metals
126,NCL,New Caledonia,0.432068705,Coal
127,NCL,New Caledonia,1.343900885,Coal
128,NCL,New Caledonia,0.171828774,Coal
129,NCL,New Caledonia,1.47349763,Coal
130,NCL,New Caledonia,0.273047299,Coal
131,NCL,New Caledonia,0.058100191,Coal
132,NCL,New Caledonia,0.143972347,Coal
133,NCL,New Caledonia,0.032530786,Coal
134,NCL,New Caledonia,0.15379181,Coal
135,NCL,New Caledonia,0.230004166,Coal
136,NCL,New Caledonia,0.45610052,Coal
137,NCL,New Caledonia,0.368256288,Coal
138,NCL,New Caledonia,0.12750839,Coal
139,NCL,New Caledonia,0.636990865,Coal
140,NCL,New Caledonia,0.134584805,Coal
141,NCL,New Caledonia,0.232408942,Coal
142,NCL,New Caledonia,0.091070592,Iron
143,NCL,New Caledonia,0.083044948,Coal
144,NCL,New Caledonia,0.28739836,Coal
145,NCL,New Caledonia,0.18014013,Coal
146,NCL,New Caledonia,0.059238338,Iron
147,NCL,New Caledonia,0.917831406,Iron
148,NCL,New Caledonia,1.362542313,Coal
149,NCL,New Caledonia,0.457153267,Coal
150,NCL,New Caledonia,0.093836961,Coal
151,NCL,New Caledonia,0.53186607,Coal
152,NCL,New Caledonia,0.183608284,Coal
153,NCL,New Caledonia,0.260679003,Iron
154,NCL,New Caledonia,0.146565442,Other metals
155,NCL,New Caledonia,0.119631128,Coal
156,NCL,New Caledonia,0.165146999,Coal
157,NCL,New Caledonia,0.264403896,Copper
158,NCL,New Caledonia,0.329289147,Coal
159,NCL,New Caledonia,1.992462642,Copper
160,NCL,New Caledonia,2.972107139,Copper
161,NCL,New Caledonia,0.382987877,Other non-metals
163,NCL,New Caledonia,1.027442546,Iron
164,NCL,New Caledonia,2.009652101,Coal
165,NCL,New Caledonia,0.117334075,Coal
166,NCL,New Caledonia,0.496446075,Coal
167,NCL,New Caledonia,0.277092367,Copper
171,NCL,New Caledonia,0.040938959,Coal
172,NCL,New Caledonia,1.523836431,Nickel and Cobalt
173,NCL,New Caledonia,0.453449117,Coal
174,NCL,New Caledonia,0.023804416,Coal
175,NCL,New Caledonia,0.126007846,Coal
177,NCL,New Caledonia,0.283568045,Bauxite
178,NCL,New Caledonia,0.487230371,Coal
179,NCL,New Caledonia,0.108903142,Coal
181,NCL,New Caledonia,2.139156698,Bauxite
183,NCL,New Caledonia,0.396491345,Coal
184,NCL,New Caledonia,0.293634547,Coal
185,NCL,New Caledonia,0.566176398,Copper
186,NCL,New Caledonia,0.244559668,Coal
187,NCL,New Caledonia,3.223980992,Coal
188,NCL,New Caledonia,0.541831474,Coal
189,NCL,New Caledonia,0.460471427,Nickel and Cobalt
190,NCL,New Caledonia,0.79399698,Coal
191,NCL,New Caledonia,2.25028618,Coal
192,NCL,New Caledonia,0.906186082,Coal
193,NCL,New Caledonia,1.637381712,PGE
194,NCL,New Caledonia,8.455068819,Iron
195,NCL,New Caledonia,0.625404593,Other non-metals
196,NCL,New Caledonia,0.871125676,Coal
197,NCL,New Caledonia,3.555788911,Coal
198,NCL,New Caledonia,0.984929206,Iron
200,NCL,New Caledonia,4.61651102,Iron
201,NCL,New Caledonia,2.281677439,Coal
202,NCL,New Caledonia,0.033407977,Iron
203,NCL,New Caledonia,3.687842187,Coal
204,NCL,New Caledonia,9.836829977,Coal
205,NCL,New Caledonia,2.76618899,Bauxite
206,NCL,New Caledonia,2.401998024,Bauxite
207,NCL,New Caledonia,15.08203361,Gold
208,NCL,New Caledonia,0.228813269,Gold
209,NCL,New Caledonia,0.566263877,Nickel and Cobalt
210,NCL,New Caledonia,0.730402083,Gold
211,NCL,New Caledonia,5.880255098,Ilmenite
212,NCL,New Caledonia,1.14771871,Iron
213,NCL,New Caledonia,4.122310443,Gold
214,NCL,New Caledonia,4.623551569,Gold
215,NCL,New Caledonia,11.1616132,Gold
216,NCL,New Caledonia,2.238977619,Coal
217,NCL,New Caledonia,0.664619632,Ilmenite
218,NCL,New Caledonia,9.18737934,Coal
219,NCL,New Caledonia,0.326792589,Other non-metals
220,NCL,New Caledonia,0.161721848,Coal
222,NCL,New Caledonia,0.524681021,Zinc
223,NCL,New Caledonia,0.308149533,Coal
224,NCL,New Caledonia,0.386284107,Coal
225,NCL,New Caledonia,9.309974529,Ilmenite
226,AUS,Australia,1.005488591,Coal
227,NCL,New Caledonia,1.995113867,Coal
229,AUS,Australia,0.077371771,Bauxite
230,AUS,Australia,0.028612656,Nickel and Cobalt
235,AUS,Australia,0.432144074,Other non-metals
236,AUS,Australia,0.264072121,Coal
238,AUS,Australia,0.232240898,Coal
239,AUS,Australia,0.308515956,Iron
240,AUS,Australia,0.047155288,Lithium
241,AUS,Australia,0.211092959,Coal
242,AUS,Australia,0.122610896,Gold
243,AUS,Australia,0.038328609,Ilmenite
245,AUS,Australia,0.535724829,Gold
246,AUS,Australia,0.054476176,Molybdenum
247,AUS,Australia,0.08186827,Lead
248,AUS,Australia,1.178146086,Ilmenite
249,NCL,New Caledonia,0.864677447,Coal
250,NCL,New Caledonia,0.186933932,Other non-metals
251,NCL,New Caledonia,5.120740205,Coal
252,NCL,New Caledonia,0.617940165,Coal
253,NCL,New Caledonia,0.239580051,Coal
255,AUS,Australia,0.283417132,Coal
256,AUS,Australia,0.034321373,Coal
257,AUS,Australia,0.91486902,Gold
259,AUS,Australia,0.052615721,Lithium
260,AUS,Australia,0.028211944,Coal
261,AUS,Australia,0.057905198,Nickel and Cobalt
264,AUS,Australia,0.458977055,Gold
265,AUS,Australia,2.189553072,Lead
267,AUS,Australia,1.351371548,Lithium
268,AUS,Australia,0.122504112,Lead
269,AUS,Australia,0.044077907,Coal
270,AUS,Australia,0.081473457,Molybdenum
271,AUS,Australia,0.080653824,Molybdenum
273,AUS,Australia,0.508475229,Coal
274,AUS,Australia,0.176974331,Molybdenum
275,AUS,Australia,1.841969246,Bauxite
277,AUS,Australia,0.750087365,Coal
278,AUS,Australia,1.511528343,Lead
279,AUS,Australia,1.803945207,Coal
280,AUS,Australia,0.540969313,Other metals
281,AUS,Australia,0.030199614,Gold
282,AUS,Australia,0.744955865,Coal
283,AUS,Australia,0.012421652,Molybdenum
284,AUS,Australia,0.459660958,Gold
285,AUS,Australia,0.158934576,Nickel and Cobalt
286,AUS,Australia,20.59861185,Gold
287,AUS,Australia,0.12370633,Gold
288,AUS,Australia,0.057010255,Copper
290,AUS,Australia,0.089870144,Iron
291,AUS,Australia,0.08637056,Iron
293,AUS,Australia,0.121776207,Nickel and Cobalt
294,AUS,Australia,0.104126783,Lithium
295,AUS,Australia,0.103986732,Gold
296,AUS,Australia,0.161053183,Lithium
297,AUS,Australia,0.530456117,Other non-metals
298,AUS,Australia,0.31312424,Other metals
299,AUS,Australia,7.803012389,Iron
300,AUS,Australia,0.701843324,Tungsten
301,AUS,Australia,0.016709659,Iron
302,AUS,Australia,1.337823499,Silver
303,AUS,Australia,0.015942763,Iron
305,AUS,Australia,1.62620805,Coal
306,AUS,Australia,0.430065092,Gold
307,AUS,Australia,0.665901584,Iron
308,AUS,Australia,1.675645921,Other non-metals
309,AUS,Australia,0.817912764,Iron
310,AUS,Australia,0.064050226,Iron
311,AUS,Australia,1.71841018,Coal
312,AUS,Australia,0.016414526,Copper
313,AUS,Australia,0.660793427,Silver
314,AUS,Australia,2.207681365,Coal
315,AUS,Australia,0.011346021,Gold
316,AUS,Australia,0.96353956,Gold
317,AUS,Australia,0.098892093,Gold
318,AUS,Australia,0.030424137,Iron
320,AUS,Australia,5.914901629,Coal
321,AUS,Australia,0.882844432,Gold
324,AUS,Australia,0.145901225,Coal
325,AUS,Australia,0.280842955,Tin
326,AUS,Australia,0.157071169,Copper
327,AUS,Australia,0.179114381,Lithium
328,AUS,Australia,0.671984651,Copper
329,AUS,Australia,0.113121091,Gold
330,AUS,Australia,0.252693739,Gold
331,AUS,Australia,0.583678481,Other non-metals
332,AUS,Australia,3.045752897,Silver
333,AUS,Australia,0.20232319,Gold
334,AUS,Australia,0.347360031,Iron
335,AUS,Australia,0.600651322,Copper
336,AUS,Australia,0.350127858,Nickel and Cobalt
337,AUS,Australia,3.040368887,Coal
338,AUS,Australia,0.142035518,Silver
341,AUS,Australia,1.27745384,Silver
342,AUS,Australia,0.972621841,Gold
343,AUS,Australia,1.333825932,Silver
344,AUS,Australia,0.11561231,Nickel and Cobalt
345,AUS,Australia,0.937852619,Silver
347,AUS,Australia,0.462790889,Coal
348,AUS,Australia,1.010711531,Gold
349,AUS,Australia,4.854032855,Iron
350,AUS,Australia,0.945462231,Gold
351,AUS,Australia,0.460068078,Gold
352,AUS,Australia,0.27024253,Other metals
353,AUS,Australia,0.989212483,Iron
354,AUS,Australia,3.520262686,Chromium
355,AUS,Australia,0.06824405,Iron
358,AUS,Australia,0.129778349,Copper
359,AUS,Australia,1.103368328,Coal
360,AUS,Australia,0.016177155,Gold
361,AUS,Australia,1.090325121,Copper
362,AUS,Australia,0.969342183,Iron
363,AUS,Australia,1.9510348,Gold
364,AUS,Australia,0.156403791,Coal
365,AUS,Australia,0.042430699,Other metals
366,AUS,Australia,0.100048602,Iron
367,AUS,Australia,0.621440867,Nickel and Cobalt
368,AUS,Australia,0.150019854,Gold
369,AUS,Australia,0.727312751,PGE
372,AUS,Australia,0.351247219,Other non-metals
374,AUS,Australia,0.339237874,Other non-metals
376,AUS,Australia,0.329898819,Lithium
377,AUS,Australia,0.280574407,Gold
378,AUS,Australia,0.315196325,Zinc
379,AUS,Australia,5.614962161,Silver
380,AUS,Australia,1.529748397,Coal
381,AUS,Australia,0.102501433,Iron
382,AUS,Australia,0.192466813,Iron
383,AUS,Australia,0.217671993,Gold
385,AUS,Australia,1.67079924,Iron
386,AUS,Australia,0.393072942,Lithium
387,AUS,Australia,0.789717731,Coal
388,AUS,Australia,0.297945,Gold
389,AUS,Australia,2.004233669,Other non-metals
390,AUS,Australia,0.075064,Gold
391,AUS,Australia,0.320893935,Gold
392,AUS,Australia,2.07207078,Iron
394,AUS,Australia,0.383393873,Other non-metals
396,AUS,Australia,0.351546772,Uranium
397,AUS,Australia,5.434514471,Iron
398,AUS,Australia,0.522776947,Uranium
399,AUS,Australia,0.686023172,Gold
400,AUS,Australia,1.021805972,Gold
401,AUS,Australia,0.038313109,Nickel and Cobalt
402,AUS,Australia,0.247801668,Other non-metals
404,AUS,Australia,0.384907247,Iron
405,AUS,Australia,0.035920599,Iron
407,AUS,Australia,2.410312654,Uranium
408,AUS,Australia,0.066161383,Coal
409,AUS,Australia,0.295418788,Other non-metals
411,AUS,Australia,4.800692439,Iron
412,AUS,Australia,0.712255381,Lithium
413,AUS,Australia,0.147096881,Nickel and Cobalt
414,AUS,Australia,0.530913804,Lithium
415,AUS,Australia,1.119838007,Iron
417,AUS,Australia,0.538131226,Coal
418,AUS,Australia,0.221124286,Nickel and Cobalt
419,AUS,Australia,0.019842721,Iron
420,AUS,Australia,6.77138063,Copper
423,AUS,Australia,0.304805862,Iron
424,AUS,Australia,0.402032201,Nickel and Cobalt
425,AUS,Australia,0.491061989,Silver
427,AUS,Australia,0.410428762,Iron
428,AUS,Australia,0.026184349,Gold
429,AUS,Australia,0.235681408,Copper
430,AUS,Australia,0.209552393,Iron
431,AUS,Australia,0.165198673,Coal
432,AUS,Australia,1.221932399,Gold
433,AUS,Australia,0.05125807,Bauxite
437,AUS,Australia,0.173509034,Coal
438,AUS,Australia,0.080136342,Coal
439,AUS,Australia,0.054951662,Copper
440,AUS,Australia,0.079177973,Other metals
442,AUS,Australia,0.690376233,Lithium
443,AUS,Australia,1.187360581,Coal
444,AUS,Australia,0.135833505,Zinc
446,AUS,Australia,0.100029126,Iron
447,AUS,Australia,0.050896877,Nickel and Cobalt
448,AUS,Australia,0.127767287,Gold
449,AUS,Australia,0.892976139,Gold
450,AUS,Australia,0.026528364,Gold
451,AUS,Australia,0.352427944,Gold
452,AUS,Australia,0.065686468,Coal
454,AUS,Australia,3.141620635,Coal
455,AUS,Australia,4.677026966,Gold
456,AUS,Australia,3.52744695,Copper
